conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.89982E+18,Wed Mar 12 13:54:39 +0000 2025,1,Watching #FailMahkamah at TV3; Zulfarhan Osman the world's law is full of injustice. We are deeply sorry that we could not help you while you were suffering because of the torture and after you let out your very last breath. Law is not on your side angel.,1.89982E+18,,,en,,1,0,4,https://x.com/summmersnowww/status/1899821342654132585,1.60511E+18,summmersnowww
1.89796E+18,Fri Mar 07 10:58:08 +0000 2025,0,[UPNM Bully Case: Death Sentence Overturned?] The Zulfarhan Osman case remains a tragic reminder of the dangers of hazing and institutional violence sparking national debate on justice accountability and student safety. #UMCT2425 #Infographics https://t.co/Ck474varnt,1.89796E+18,https://pbs.twimg.com/media/GlbtFDna4AAfFI5.jpg,,en,Kuala Lumpur,0,1,0,https://x.com/umconstiteam/status/1897964981377028381,1.28783E+18,umconstiteam
1.89589E+18,Sat Mar 01 17:14:46 +0000 2025,0,Six former Universiti Pertahanan Nasional Malaysia (UPNM) students who were previously convicted for murdering Navy Cadet Officer Zulfarhan Osman Zulkarnain in 2017 will no longer meet the hangman. https://t.co/z4dQg3qqhU,1.89589E+18,https://pbs.twimg.com/media/Gk-JvK4WQAAA2Sg.jpg,,en,,0,0,0,https://x.com/GenZMalaysia/status/1895885434817036666,1.82423E+18,GenZMalaysia
1.89566E+18,Sat Mar 01 02:16:02 +0000 2025,0,The late Zulfarhan Osman s family could only accept the final verdict with stoicism of a tragedy that has left a permanent scar. https://t.co/gMlN1GTFcA,1.89566E+18,,,en,"Kuala Lumpur, Malaysia",0,0,0,https://x.com/staronline/status/1895659262514200970,22594051,staronline
1.89554E+18,Fri Feb 28 18:29:17 +0000 2025,0,zulfarhan osman will never be forgotten. but the six murderers who took his life your names and faces will forever be remembered for what you did. MAY YOU ROT IN HELL,1.89554E+18,,,en,Kuala Lumpur ,0,0,0,https://x.com/faithfullyfiona/status/1895541801312026949,9.41966E+17,faithfullyfiona
1.89543E+18,Fri Feb 28 11:03:58 +0000 2025,0,Zulfarhan Osman s mother: I will soldier on for my son s dignity #TMRNews https://t.co/SwWCtRamRB,1.89543E+18,,,en,Malaysia,0,0,0,https://x.com/TMReserve/status/1895429733707665578,293590755,TMReserve
1.89543E+18,Fri Feb 28 11:02:51 +0000 2025,9,They will demand more reduction of the punishment . Zulfarhan Osman faced it alone while they're many torturing him to death because of physical things that could be brought in just split of second with printed papers. Is it fair? Justice is being swept under the rug .,1.89543E+18,,,en,"Kuala Lumpur, Wilayah Persekut",0,0,3,https://x.com/Iam_Zaril/status/1895429453561630935,1.18265E+18,Iam_Zaril
1.89541E+18,Fri Feb 28 09:57:40 +0000 2025,3,#NSTnation The father of navy cadet Zulfarhan Osman Zulkarnain expressed his hope that he would not come face to face with the six former National Defence University students who were sentenced to 18 years in prison. https://t.co/jlMRdC0Lxh,1.89541E+18,,,en,Malaysia,3,2,3,https://x.com/NST_Online/status/1895413046493020355,55186601,NST_Online
1.89541E+18,Fri Feb 28 09:48:45 +0000 2025,65,Zulfarhan Osman's case: It's a sad day indeed. In many case I really believe 'an eye for an eye' but no word can describe bagaimana seksanya mangsa. My thought: Where exactly do you draw the line between having AND not having the intention to kill?,1.89541E+18,,,en,Kuala Lumpur,1,6,14,https://x.com/AlawiyahYussof/status/1895410804218077236,318297378,AlawiyahYussof
1.89539E+18,Fri Feb 28 08:13:47 +0000 2025,0,Justice for Zulfarhan Osman,1.89539E+18,,,en,Malaysia,0,0,0,https://x.com/Honey_150214/status/1895386905115795802,1.56672E+18,Honey_150214
1.89538E+18,Fri Feb 28 07:34:31 +0000 2025,0,JUSTICE FOR ZULFARHAN OSMAN,1.89538E+18,,,en,,0,0,0,https://x.com/honeyyyb3/status/1895377025684390276,1.14459E+18,honeyyyb3
1.89535E+18,Fri Feb 28 05:30:49 +0000 2025,60,Six former UPNM students have escaped the death penalty for the 2017 death of navy cadet officer Zulfarhan Osman Zulkarnain. The Federal Court granted the six appellants' appeal reducing their death sentence for murder to 18 years in prison for culpable homicide not amounting https://t.co/5ckpl5S4Tb,1.89535E+18,https://pbs.twimg.com/media/Gk2fCkZaoAIFYqF.jpg,,en,Kuala Lumpur,38,9,68,https://x.com/NewsBFM/status/1895345891659391014,296694466,NewsBFM
1.89534E+18,Fri Feb 28 05:00:14 +0000 2025,4,#NSTnation Six former National Defence University students have escaped the noose and will serve 18 years in prison imposed by the High Court for the murder of navy cadet officer Zulfarhan Osman Zulkarnain eight years ago. https://t.co/oSQU8VXWrt,1.89534E+18,,,en,Malaysia,4,1,9,https://x.com/NST_Online/status/1895338195384217698,55186601,NST_Online
1.89533E+18,Fri Feb 28 04:45:51 +0000 2025,0,THE Federal Court has reversed the death sentence of six former Universiti Pertahanan Nasional Malaysia (#UPNM) cadets who were guilty of killing cadet Zulfarhan Osman Zulkarnain in 2017. /2 #TMRNews,1.89533E+18,,TMReserve,en,Malaysia,0,1,0,https://x.com/TMReserve/status/1895334575896961475,293590755,TMReserve
1.89187E+18,Tue Feb 18 15:00:10 +0000 2025,55,The Federal Court heard that the trial of six former UPNM students convicted of murdering navy cadet Zulfarhan Osman was compromised with prosecution witnesses coached to testify against the accused. Lawyer Hisyam Teh urged the court to review the witnesses' testimony arguing https://t.co/w9kwcBMR6U,1.89187E+18,https://pbs.twimg.com/media/GkFBdqkaAAUID3u.jpg,,en,Kuala Lumpur,10,8,43,https://x.com/NewsBFM/status/1891865298548162625,296694466,NewsBFM
1.89181E+18,Tue Feb 18 11:38:01 +0000 2025,1,The Federal Court was told today that the conviction and the death sentence imposed on six former National Defence University of Malaysia (UPNM) students for the murder of Navy Cadet Officer Zulfarhan Osman Zulkarnain is unsafe and should be set aside. https://t.co/SkjqPwgqE1,1.89181E+18,https://pbs.twimg.com/media/GkETLspW0AEKp0Z.jpg,,en,,0,0,0,https://x.com/TrendyMalaysia/status/1891814423477588154,1.82455E+18,TrendyMalaysia
1.8559E+18,Mon Nov 11 09:24:54 +0000 2024,0,The father of the late Zulfarhan Osman a Cadet Officer at the Universiti Pertahanan Nasional (UPNM) Zulkarnain Idros expressed his disappointment that bullying had persisted at the university. #UPNM #BullyingCase #Father https://t.co/NGId2ncn4I,1.8559E+18,,,en,Malaysia,0,0,2,https://x.com/sinardailymy/status/1855904526991048825,1.4358E+18,sinardailymy
1.85322E+18,Sun Nov 03 23:30:01 +0000 2024,4,#NSTleader It has happened again in the very university Universiti Pertahanan Nasional Malaysia (UPNM) where in 2017 navy cadet Zulfarhan Osman Zulkarnain was bullied to death by several of his seniors. Why is such thuggery continuing in schools and other institutions in,1.85322E+18,,,en,Malaysia,0,0,1,https://x.com/NST_Online/status/1853218101719863800,55186601,NST_Online
1.85219E+18,Fri Nov 01 03:15:32 +0000 2024,8,The father of murdered army cadet Zulfarhan Osman Zulkarnain has expressed his sadness that abuse still happens in Universiti Pertahanan Nasional Malaysia (UPNM). Harian Metro cited Zulkarnain Idros 60 saying that he was shocked that the similar abuse suffered by his late son https://t.co/gkMBSgYTIk,1.85219E+18,https://pbs.twimg.com/media/GbRK421WMAA9YBw.jpg,,en,Malaysia,0,2,2,https://x.com/malaymail/status/1852187691934192057,27404490,malaymail
1.85182E+18,Thu Oct 31 03:07:38 +0000 2024,16,The case is currently under investigation at the ALK-UPNM level. This incident follows the tragic bullying and murder of navy cadet Zulfarhan Osman Zulkarnain seven years ago involving similar methods of abuse. 4,1.85182E+18,,NewsBFM,en,Kuala Lumpur,0,1,1,https://x.com/NewsBFM/status/1851823317654868288,296694466,NewsBFM
1.82389E+18,Thu Aug 15 01:00:13 +0000 2024,0,The Human Rights Commission of Malaysia (Suhakam) expresses its deepest condolences to the family of Zulfarhan Osman Zulkarnain whose tragic death on 1 June 2017 profoundly affected the nation. We a... #abolishmentofdeathpenalty https://t.co/THPZkMprPc,1.82389E+18,,,en,Malaysia,0,0,0,https://x.com/aliranmalaysia/status/1823887385681137985,40399070,aliranmalaysia
1.8212E+18,Wed Aug 07 15:13:19 +0000 2024,1,@NTDChinese On July 23 six former students of the National Defense University Malaysia (UPNM) were all sentenced to death by the Malaysian Court of Appeal for the murder of naval cadet Zulfarhan Osman Zulkarnain seven years ago.,1.8212E+18,,NTDChinese,en,,0,0,0,https://x.com/Jefflee8084Lee/status/1821202970844795335,1.59336E+18,Jefflee8084Lee
1.8183E+18,Tue Jul 30 14:40:49 +0000 2024,1, A case of bullying gone horrifically wrong: The tragic story of Zulfarhan Osman Zulkarnain. 1/7: Zulfarhan Osman Zulkarnain a promising student at Universiti Pertahanan Nasional Malaysia became the victim of a brutal act of bullying.,1.8183E+18,,,en,Kenya,0,1,1,https://x.com/dr_joash/status/1818295691396911332,1.47723E+18,dr_joash
1.8179E+18,Mon Jul 29 12:13:23 +0000 2024,0,Navy cadet burned to death with hot iron by his bullies｜Zulfarhan Osman ... https://t.co/ifOre5JiqU via @YouTube,1.8179E+18,,,en,53300,0,0,0,https://x.com/nhakims/status/1817896198449369096,3911459534,nhakims
1.81787E+18,Mon Jul 29 10:42:01 +0000 2024,0,Navy cadet burned to death with hot iron by his bullies｜Zulfarhan Osman Case https://t.co/Nf7t1HDfjv via @YouTube,1.81787E+18,,,en,Malaysia,0,0,0,https://x.com/kucingputih/status/1817873207397151063,142665227,kucingputih
1.81783E+18,Mon Jul 29 07:59:32 +0000 2024,4,Zulkarnain Idros wants to know where the Human Rights Commission of Malaysia (SUHAKAM) was when his son Zulfarhan Osman Zulkarnain was tortured and murdered seven years ago. https://t.co/w6jkKohZSc,1.81783E+18,,,en,Malaysia,0,0,0,https://x.com/saysdotcom/status/1817832315911131638,16039793,saysdotcom
1.81777E+18,Mon Jul 29 03:48:43 +0000 2024,2,We re all angry about what happened for the past few weeks. Starting from the murder of Farah Kartini and the recent justice served to arwah Zulfarhan I hope our government will take this issue seriously. Our law officers are supposed to be protecting not abusing the power.,1.81777E+18,,,en,Selangor,0,0,5,https://x.com/hafizosman1975/status/1817769194714198021,9.91176E+17,hafizosman1975
1.8171E+18,Sat Jul 27 07:46:31 +0000 2024,1,The death sentence handed down by the Court of Appeal to six former students of UPNM for the murder of naval cadet Zulfarhan Osman Zulkarnain seven years ago is appropriate and just said the Malaysian Crime Prevention Foundation (MCPF). https://t.co/d8ZxmgrENO,1.8171E+18,,,en,,0,0,2,https://x.com/Scoopdotmy/status/1817104264839463310,1.68133E+18,Scoopdotmy
1.81709E+18,Sat Jul 27 07:08:20 +0000 2024,0,I think it is fair what they did to this guy. SIX of them tortured Zulfarhan Osman for two days. https://t.co/KbJaC3gnhL,1.81709E+18,,,en,,0,0,0,https://x.com/freifechter/status/1817094655558975757,8.69881E+17,freifechter
1.81709E+18,Sat Jul 27 07:06:38 +0000 2024,473,The Malaysian Crime Prevention Foundation says the death sentence handed down to 6 former UPNM students for the murder of Zulfarhan Osman in 2017 is appropriate and just. MCPF says it disagrees with the objection raised by Suhakam on the death sentence. Suhakam needs to https://t.co/4qxNLwaiAM,1.81709E+18,https://pbs.twimg.com/media/GTedkTFbAAAeJTp.png,,en,Kuala Lumpur,6,6,355,https://x.com/NewsBFM/status/1817094226959835623,296694466,NewsBFM
