conversation_id_str,created_at,full_text,lang,username,relevance_label,sentiment_auto,sentiment_manual
8.71e+17,2/6/2017 21:41,let clarify thing poor lad zulfarhan osman know club university,en,frdausx,relevan,negative,neutral
8.71e+17,2/6/2017 23:23,want aware bullyingturned murder case half hour agozulfarhan osman bin zulkarnain navy cadet upnm pass yo,en,mynameissyauqi,relevan,negative,neutral
8.71e+17,3/6/2017 0:38,navy cadet zulfarhan osman death investigate via malaysiagazette,en,MalaysiaGazette,relevan,negative,neutral
8.71e+17,3/6/2017 3:31,cadet officer tell mother take care prior murder navy zulfarhan osman zulkarnain,en,zyiteblog,relevan,negative,neutral
8.71e+17,3/6/2017 3:41,higher education ministry view zulfarhan osmans death seriously,en,theSundaily,relevan,negative,neutral
8.71e+17,3/6/2017 3:52,awaninews awanipagi higher education ministry view zulfarhan osmans death seriously,en,501Awani,relevan,negative,neutral
8.71e+17,3/6/2017 3:54,deepest condolence go late zulfarhan osman family may rest peace,en,youthonunity,relevan,positive,positive
8.71e+17,3/6/2017 4:00,awaninews awanipagi higher education ministry view zulfarhan osmans death seriously,en,mat4g13,relevan,negative,neutral
8.71e+17,3/6/2017 4:13,heartbreaking news heart amp condolence go family zulfarhan osman may justice serf whoever deserves alfatihah,en,yiyieeen,relevan,positive,positive
8.71e+17,3/6/2017 4:30,higher education ministry view zulfarhan osmans death seriously,en,zyiteblog,relevan,negative,neutral
8.71e+17,3/6/2017 4:31,higher education ministry view zulfarhan osmans death seriously,en,DavidAnanth,relevan,negative,neutral
8.71e+17,3/6/2017 5:00,ministry concern murder military varsity cadet upnms yearold undergrad zulfarhan osman susp,en,malaysiakini,relevan,negative,neutral
8.71e+17,3/6/2017 5:49,dont understand zulfarhan osman take clinic week hosp didnt gp call police,en,Melissa_Jhnsn,relevan,neutral,negative
8.71e+17,3/6/2017 6:59,know late navy cadet officer zulfarhan osman zulkarnain polite softspoken nature,en,SAYSSingapore,relevan,neutral,positive
8.71e+17,3/6/2017 7:00,know late navy cadet officer zulfarhan osman zulkarnain polite softspoken nature,en,SAYSPhilippines,relevan,neutral,positive
8.71e+17,3/6/2017 7:41,know family girl feeling alfatihah zulfarhan osman semoga beliau tenang disana,en,IsyamKhir_,relevan,positive,positive
8.71e+17,3/6/2017 8:03,higher education ministry view zulfarhan osman death seriously theborneopost,en,OnlyMalayNews,relevan,negative,neutral
8.71e+17,3/6/2017 8:24,higher education ministry view zulfarhan osmans death seriously minis,en,UpdatesMalaysia,relevan,negative,neutral
8.71e+17,3/6/2017 8:59,higher education ministry view zulfarhan osmans death seriously bernama photo,en,iss_iskandar,relevan,negative,neutral
8.71e+17,3/6/2017 12:16,higher education ministry view zulfarhan osmans via,en,HigherEdTopNews,relevan,neutral,neutral
8.71e+17,3/6/2017 15:12,still shock death upnm student zulfarhan osman zulkarnain action take situation immature alfatihah,en,kir_wasabi,relevan,negative,negative
8.71e+17,3/6/2017 17:24,navy cadet zulfarhan osman death investigate dea,en,MediaLantang,relevan,negative,neutral
8.71e+17,3/6/2017 18:00,heart dua family zulfarhan osman zulkarnian may allah help difficult time,en,Aaaamaannn,relevan,neutral,positive
8.71e+17,3/6/2017 22:06,cried reading abt arwah zulfarhan osman zulkarnain alfatihah imagine tht happen sibling hw people heartless,en,sissyimann,relevan,negative,negative
8.71e+17,4/6/2017 1:25,people heartless al fatihah arwah zulfarhan osman,en,maryamizza,relevan,negative,negative
8.71e+17,4/6/2017 4:48,higher education ministry view zulfarhan osman dea via,en,HigherEdTopNews,relevan,neutral,neutral
8.71e+17,4/6/2017 8:43,leave ramadhan must do many good thing life may allah grant jannah zulfarhan osman,en,dylladyllx,relevan,positive,positive
8.71e+17,5/6/2017 6:34,justice zulfarhan osman,en,HanaFisyora,relevan,positive,positive
8.72e+17,5/6/2017 10:38,rip zulfarhan osman zulkarnain hopefully murderer upnm spend hari raya aidilfitri prison,en,briarauroraros,relevan,negative,negative
8.72e+17,5/6/2017 11:05,accidentally iron little ant death teringat arwah zulfarhan osman al fatihah,en,rajanurulhz,relevan,negative,negative
8.72e+17,5/6/2017 11:31,individual may arrest murder zulfarhan osman,en,MalaysiaGazette,relevan,negative,neutral
8.72e+17,5/6/2017 15:09,alfatihah arwah zulfarhan osman dont know hope allah put among pious may grant highest paradise,en,emmericium,relevan,positive,positive
8.72e+17,6/6/2017 1:14,individual may arrest murder zulfarhan osman via malaysiagazette,en,MalaysiaGazette,relevan,negative,neutral
8.73e+17,8/6/2017 14:24,justice allahyarham zulfarhan osman may place among pious ameen,en,emmericium,relevan,positive,positive
8.75e+17,14/6/2017 9:41,guy read new update case abt zulfarhan osman,en,syz4nisahar,relevan,neutral,neutral
8.75e+17,14/6/2017 18:23,zulfarhan osmans murderer pray sadden know parent scorn life alfatihah,en,syenzhuka,relevan,negative,negative
8.75e+17,15/6/2017 4:55,student charge murder upnm cadet zulfarhan osman happen first place,en,TahanUniMY,relevan,negative,neutral
8.76e+17,16/6/2017 4:57,deepest sympathy go family tnhaveen zulfarhan osman lossmay god ease difficult time grief pain,en,sannaazharr,relevan,negative,positive
8.76e+17,16/6/2017 18:10,saddest part zulfarhan osmans death hand people call friend,en,yazrulyassin,relevan,negative,negative
8.76e+17,17/6/2017 2:43,saddest part zulfarhan osmans death hand people call friend god sake,en,puteriazwin,relevan,negative,negative
8.77e+17,19/6/2017 15:23,mendiang nhaveen amp arwah zulfarhan osman really open eye extent bully malaysia get,en,levibih07,relevan,negative,neutral
8.87e+17,18/7/2017 6:54,aug mention date upnm student charge navy cadet officer zulfarhan osmans death,en,bernamadotcom,relevan,negative,neutral
8.87e+17,18/7/2017 6:59,aug mention date upnm student charge navy cadet officer zulfarhan osmans death,en,mat4g13,relevan,negative,neutral
