Actual,Predicted,Date,Username,Tweet
neutral,neutral,28/2/2025 11:03,TMReserve,zulfarhan osman mother soldier son dignity tmrnews
negative,negative,8/11/2023 14:20,Pluviophiles19,dont deserve life muka pembunuh
negative,negative,2/3/2025 0:35,reefjrx,terbaik keputusan hakim makin ramai mungkin pembuli pemyeterika manusia lepas
neutral,neutral,3/11/2021 0:34,MuhdSuk11794604,alfatihah dibaca tajwid
neutral,neutral,2/11/2021 7:37,GeorgeGerald,upnm student find guilty culpable homicide death zulfarhan osman
neutral,neutral,3/6/2017 12:16,HigherEdTopNews,higher education ministry view zulfarhan osmans via
neutral,neutral,31/7/2019 3:49,snoraien,sorang kenapa bebas sesiapa jelaskan faham
neutral,neutral,3/11/2021 0:34,MuhdSuk11794604,alfatihah dibaca tajwid
positive,positive,23/7/2024 20:50,Izzatiizzlyn,alhamdulillahallah pernah tidur
negative,negative,23/7/2024 9:30,hazlamiharun1,patutnya warden ketika kejadian tuu ambil tindakan
neutral,neutral,3/12/2019 12:38,NST_Online,nstnation fourth accuse trial involve murder national defence university malaysia upnm cadet officer zulfarhan osman zulkarnain claim know steam iron use interrogation hot
positive,positive,8/11/2024 3:46,eemrun97,upnm dah start restrict penggunaan seterika dekat kolej biar berantai bilik gosok baju tiap kali nak pakai kena tulis nama prevention better cure bcus get hand need serious action take
negative,negative,1/3/2025 0:02,illyiarazak,bodohnya pakar patut ditekap seterika
positive,positive,26/7/2024 11:52,noteworthytopcs,dah mula balik saman upnm ambik lawyer ganas sikit
negative,negative,28/2/2025 13:30,kulupmelayu14,sengaja kepala butoh lancau berenam layak diikat tengah bandar kl masyarakat dibelasah kawkaw
neutral,neutral,2/11/2021 11:48,The_FullFrontal,year yearold zulfarhan osmans death allege assailant receive sentence
negative,negative,1/8/2019 2:08,MrHairulAnuar,read chronology arwah zulfarhan osman besides culprit order enter defence really hope trainer spread surat layang via whatsapp court martialed
negative,negative,25/1/2019 13:18,yayazarif,kalau kena mandatori orang takpe mak ayah kehilangan anak teruk tahu dak ee gerammm
neutral,neutral,28/2/2025 5:30,NewsBFM,six former upnm student escape death penalty navy cadet officer zulfarhan osman zulkarnain federal court grant appellant appeal reduce sentence murder year prison culpable homicide amount
neutral,neutral,17/11/2017 11:40,SCMPNews,malaysian tragedy torture murder cadet zulfarhan osman
neutral,neutral,5/11/2019 15:36,lawreviewUM,accuse apologises family murder cadet officer muhammad azamuddin mad sofi second take witness stand tear apologised member zulfarhan osman zulkarnain die physical abuse
negative,negative,1/3/2025 3:11,Naz11Mr,claim pengalaman pahit wah senang kau dah lesap nyawa anak orang know² mengaku insafingat insaf hidupkan balik keharap kena bedok jail
positive,neutral,3/11/2021 8:33,ParisAr42442891,tiada katakata nak titipkan ibu bapa arwah melainkan doa moga sentiasa yakin bahawa allah maha adil kuatkan semangat bersama penyayang
positive,positive,16/5/2024 8:55,Mukhlis09_,hutang darah dibayar
positive,positive,29/6/2018 11:55,tj_wong,god bless universiti reason need lawyer like good self defend innocent
neutral,neutral,1/3/2025 3:11,imannuraim,dark side court case defend anything lessen charge againts client
positive,positive,31/7/2019 3:54,jass_fun,jauh perjalanan kes semoga allah permudahkan
negative,negative,1/3/2025 5:36,syima_hamzah,maybe pakar kene buat case study seterika berkalikali sampai masak isi terima rawatan asap baru buktikan mati buatlah dekat salah seorang pesalah janjikan terlepas hukuman sebab volunteer diri
negative,negative,1/3/2025 10:49,siodelta,tapi mangsa telah meninggal dunia amp sek kk tetapkan hukuman penjara maksimum tahun
positive,positive,24/7/2024 13:13,TautanKasih,budaya buli harus dihapuskan impak nya besar menjadi trauma mendalam
negative,negative,28/2/2025 22:58,inseqyo,kalau kena saterika tiada dapat luka berdarah semua takdelah datang infection takkan nak kata disebabkan tikam pisau direct jantung dikira faktor utama amende sia
neutral,neutral,16/5/2024 12:53,Juanescoba3,nak tanye bomoh budakbudak jumpa bagitau zulfarhan curi laptop kena hukuman
negative,negative,24/1/2019 7:11,ShashaGurlz96,kesian arwah hmmdekat dunia lari manusia kome tipu tapi bila allah sampai akhirat weyh tanggung
neutral,neutral,25/7/2024 5:44,fauzitahir8098,kapten haryani jantan betina
positive,positive,4/11/2021 8:47,ChePutih7,alhamdulillah moga tenang bonda bapa arwah disana bila keadaan dpandang seriusrakyat lebih
negative,negative,30/6/2018 1:45,norarsmn,sambil baca terbayangkan macam mana arwah kena seksa
positive,positive,23/7/2024 5:31,embunkarinaword,alhamdulillah
positive,positive,16/5/2024 4:23,Syarklovett,setuju supaya pengajaran amp perkara berlaku hukuman penjara seumur hidup ringan bagi
positive,positive,16/5/2024 1:38,dycoldie,mantap hutang nyawa dibayar
negative,negative,26/7/2024 14:23,_xxw4,upnm memang babi banyak gila kes buli tetapi senyap buat bodo la ada public statement sebab bangga budaya macam kampus tutup
neutral,neutral,1/3/2025 3:50,norris_anggun71,saksi bab sp dr salmah arshad punca jahanam lepas bagaimanapun hakim hasnah berkata telah mengubah pernyataannya ketika disoal peguam semasa perbicaraan menyatakan kesan kebakaran peratus menyebabkan kematian tetapi semestinya mati
