Sentiment_Manual,Sentiment_Bert,Date,Username,Tweet,Phase
neutral,neutral,2025-02-28 11:03:00,TMReserve,zulfarhan osman mother soldier son dignity tmrnews,Phase 4
negative,negative,2023-11-08 14:20:00,Pluviophiles19,dont deserve life muka pembunuh,Phase 3
negative,negative,2025-03-02 00:35:00,reefjrx,terbaik keputusan hakim makin ramai mungkin pembuli pemyeterika manusia lepas,Phase 4
neutral,neutral,2021-11-03 00:34:00,MuhdSuk11794604,alfatihah dibaca tajwid,Phase 3
neutral,neutral,2021-11-02 07:37:00,GeorgeGerald,upnm student find guilty culpable homicide death zulfarhan osman,Phase 3
neutral,neutral,2017-06-03 12:16:00,HigherEdTopNews,higher education ministry view zulfarhan osmans via,Phase 1
neutral,neutral,2019-07-31 03:49:00,snoraien,sorang kenapa bebas sesiapa jelaskan faham,Phase 2
neutral,neutral,2021-11-03 00:34:00,MuhdSuk11794604,alfatihah dibaca tajwid,Phase 3
positive,positive,2024-07-23 20:50:00,Izzatiizzlyn,alhamdulillahallah pernah tidur,Phase 4
negative,negative,2024-07-23 09:30:00,hazlamiharun1,patutnya warden ketika kejadian tuu ambil tindakan,Phase 4
neutral,neutral,2019-12-03 12:38:00,NST_Online,nstnation fourth accuse trial involve murder national defence university malaysia upnm cadet officer zulfarhan osman zulkarnain claim know steam iron use interrogation hot,Phase 2
positive,positive,2024-11-08 03:46:00,eemrun97,upnm dah start restrict penggunaan seterika dekat kolej biar berantai bilik gosok baju tiap kali nak pakai kena tulis nama prevention better cure bcus get hand need serious action take,Phase 4
negative,negative,2025-03-01 00:02:00,illyiarazak,bodohnya pakar patut ditekap seterika,Phase 4
positive,positive,2024-07-26 11:52:00,noteworthytopcs,dah mula balik saman upnm ambik lawyer ganas sikit,Phase 4
negative,negative,2025-02-28 13:30:00,kulupmelayu14,sengaja kepala butoh lancau berenam layak diikat tengah bandar kl masyarakat dibelasah kawkaw,Phase 4
