Actual,Predicted,Date,Username,Tweet
positive,positive,23/7/2024 4:42,fayisyasydan,justice win saynotobullies
neutral,negative,3/11/2021 0:42,rahmatrashid,siapa kah doktor klinik swasta bertanggung jawab
neutral,neutral,3/11/2021 6:46,Media_Selangor,selangor journal upnm maf tell let incident befall zulfarhan osman happen
positive,positive,5/6/2017 15:09,emmericium,alfatihah arwah zulfarhan osman dont know hope allah put among pious may grant highest paradise
positive,positive,16/5/2024 8:55,Mukhlis09_,hutang darah dibayar
neutral,neutral,3/12/2019 12:38,NST_Online,nstnation fourth accuse trial involve murder national defence university malaysia upnm cadet officer zulfarhan osman zulkarnain claim know steam iron use interrogation hot
neutral,negative,23/7/2024 5:01,almasudynizam_,spm sampai habis degree baru settle kes
neutral,negative,31/7/2019 4:22,AnnurMedina,diarah bela diri bermakna legal meaning
positive,neutral,23/7/2024 8:14,Scoopdotmy,alhamdulillah finally along tragic death avenge sentiment express family late zulfarhan osman zulkarnain fondly know member court appeal today order six former student upnm hang
negative,negative,25/7/2024 4:24,ayu_hussein,still kerja upnm cm tiada muka kau
negative,negative,3/11/2021 14:30,KLHostile,abg petai cuma berapa faham kenapa jurulatihinstructorwarden seorang perasan langsungmemang cekap bebudak buat kerja sampai jurulatih perasanupnm kot semoga roh arwah ditempatkan bersama para syuhadaaaminn rabb
negative,negative,3/11/2021 1:07,aPaialvEs19,budakbudak asrama payah berlagak senior laaa nak buli juniordekat luar kau
positive,positive,8/11/2024 13:26,sufiansupari,semoga dibuli mendapat keadilan
negative,negative,28/2/2025 13:59,HilmiYang,dah tekap seterika sengaja aje nye kepala butoh
negative,negative,1/3/2025 4:10,alaslahai,la doktor buat andaian macam terpaling bijak minta gaji naik miskin penyakit hartal bodoh nak plak kaji
neutral,neutral,8/7/2019 9:25,HanaHunney99,case yearold cadet officer upnm zulfarhan osman zulkarnain allegedly murder tortured student last year due dispute laptop one cruel bullying malaysia
